,sentiments,labels
1882,ICYMI: Presidential Spokesperson Harry Roque said President Rodrigo Duterte decided to run for vice presidency as he assumed Davao City Mayor Sara Duterte-Carpio will cancel her plans for the presidency.   https://t.co/GTjIlhR8YA,Negative
1891,"Yan ang totoong gentleman handa niya isuko ang ambisyong maging pangulo para magpaubaya kay Mayor Inday Sara Duterte Carpio. Hindi maambisyon, nag iisip at hindi nakikinig sa mga sulsol. Dito ko hinahangaan si Senador Bongbong Marcos totoong gentleman.",Negative
1896,"Tellimer - Philippines: Dutertes dynastic drama: Incumbent President Rodrigo Duterte will contest the Vice-President post in the next election, scheduled for May 2022, according to local press reports on 24 August. This does not look like a development…  https://t.co/dFyMZU2jMm",Negative
1900,"After more than 5 yrs and heading toward his last 9 months, President Duterte has added more damage to our country. More corruptions, drugs, EJK's, and above all, he is a puppet of China.",Negative
1906,Davao City Mayor Sara Duterte Carpio has no beef with President Duterte’s former aide and now Senator Christopher Go.  https://t.co/qJHcYuc0eH,Negative
1908,"Sen. Richard Gordon responds to President Duterte's allegations, which the latter said in his Aug. 26 pre-recorded address, that some senators ""have really nothing to say"" and there are no recommendations, filing of charges, and results after days of investigation.  https://t.co/KlWqmmn2Rd",Negative
1910,The news of Duterte's candidacy for Vice President agitated the masses and it is high time to discuss the systems at play in our elections. Let's answer the questions of which issues must be addressed and how should the youth take on the challenge.,Negative
1920,"Senators took exception to President Duterte’s claim that Senate investigations do nothing in improving the government, prompting them to enumerate previous hearings that led to changes in the current administration.  READ:  https://t.co/XqALYuSfQr  https://t.co/tpT2soq7NY",Negative
1931,"The demon Duterte said Pagod na sya, but he wants to run for Vice so he can make the President quit and he will be President again or impeach whoever is president :).  Just freaking leave and never comeback.",Negative
1933,President Rodrigo Duterte of the Philippines announced he would run for the vice presidency next year. His opponents fear he is laying the groundwork to stay in power for years to come.  https://t.co/graGK4BLEn,Negative
1934,"De Lima, one of the staunchest critics of President Rodrigo Duterte, has been in jail since February 24, 2017, on allegations she used drug money to finance her senatorial campaign in 2016.  But de Lima said she was detained over trumped-up drug charges against her.",Negative
1936,"The Supreme Court on Friday asked the police and advocacy groups to submit a report on the killing of a human rights lawyer in Cebu, the 57th legal professional to be assassinated since President Rodrigo Duterte was elected into office in 2016.  READ:  https://t.co/EA4021XMCx  https://t.co/eZba4jh84v",Negative
1939,"President Rodrigo Duterte will leave Malacañang one year from now with the economy improbable back to its pre-pandemic shape, as the nation battles to escape the Covid storm.  #TheAsianAffairs #Philippines #Politics #President #RodrigoDuterte #Malacañang   https://t.co/iav3U66SLu",Negative
1941,"Rodrigo Roa Duterte, Second Asshole President, and the Dumbest of them all in the history of the Philippines.",Negative
1945,"@inquirerdotnet @DYGalvezINQ Ilabas mo muna ang SALN mo, Duterte. You do not have a legal mandate or even a moral capacity to audit government agencies. Mindless blusters from an incompetent president. Tumahan ka na, Duterte!",Negative
1946,"@iampinglacson In October 2017, President Rodrigo Duterte challenged both Sereno and Philippines Ombudsman Conchita Morales to resign from their posts. Duterte’s administration echoed his remarks and explicitly called for Sereno’s resignation.",Negative
1947,Abuse of power najud kay ka duterte ay sa true lang. Aha nato makita ang job description sa usa ka vice president na pwede mag audit sa coa? Buang ka?,Negative
1949,LOOK: President Rodrigo Roa Duterte emphasized that his administration is committed to the country's unwavering fight against the COVID-19 pandemic.  #workingPCOO  #WeRiseAsOne #COVID19PH  https://t.co/i4nSE23YoZ,Negative
1953,Sen. Nancy Binay says she can relate to President Duterte's negative view on the Commission on Audit. #ANCSoundbytes  WATCH:  https://t.co/dj5g22DFJi  https://t.co/TsRZffgyUV,Negative
1957,President Duterte and his ilk are now trapped in their own vulnerabilities as they desperately resort to rhetoric and desensitization to avoid accountability for their actions.   Read our newsletter for this month's events here 📰 :  https://t.co/BLdEGuhiet,Negative
1960,"@CMRamosINQ Go: Medyo ise-segue ko na lang po konti dahil ito naman pong issue, dahil naaawa na po ako dito sa dalawang tao ito. I’m referring to President (Duterte) and Sec. Duque. | @CMRamosINQ",Negative
1962,#SunStarOpinion EDITORIAL: PRESIDENT Rodrigo Duterte’s administration is pushing for a P28.1 billion budget to fund the National Task Force to End Local Communist Armed Conflict (NTF-ELCAC) in 2022.  Know more  https://t.co/fmKv1jY7UJ  https://t.co/zDcmaafoxg,Negative
1963,Itama si Harry: Wala pong unfinished business si Duterte dahil in the first place he has no business being president or VP dahil sa katamaran at palpak nya. Umamin na si Dugong tatakbo sya VP dahil takot makulong kaya tigil na pagsisinungaling. #HarrySinungaling #DutertePalpak  https://t.co/ETBLY90iT1,Negative
1964,"Go: Medyo ise-segue ko na lang po konti dahil ito naman pong issue, dahil naaawa na po ako dito sa dalawang tao ito. I’m referring to President (Duterte) and Sec. Duque. | @inquirerdotnet",Negative
1965,"A Vice President's real job is to take over as President.  When the current President shall have died or shall have become permanently disabled or resigned, the Vice President shall become President.  So, President Duterte is making a mockery of the Constitution.",Negative
1966,"@reyaika @maracepeda Senator Bong Go now speaking. He earlier denied ties with Lao, even if gov't records show that Lao worked as an undersecretary in the Office of the Special Assistant to the President. Go was Duterte's longtime aide before he became senator. | @maracepeda    https://t.co/OrS0ei8jCD",Negative
1968,President Rodrigo Duterte of the Philippines announced he would run for the vice presidency next year. His opponents fear he is laying the groundwork to stay in power for years to come.  https://t.co/Li5cpXkKnr,Negative
1969,"@rapplerdotcom Senator Bong Go now speaking. He earlier denied ties with Lao, even if government records show that Lao worked as an undersecretary in the Office of the Special Assistant to the President. Go was Duterte's longtime aide before he became senator.",Negative
1975,President Duterte is literally telling us now that he is here to fuck up the Constitution. Don’t let him. #VoteHimOut  https://t.co/ENg8MFukOJ,Negative
1978,"'DI PO KAMI PUNCHING BAG DITO SA SENADO'   Sen. Richard Gordon, chairman of the Senate blue ribbon committee, defended the investigations conducted by the upper chamber after President Rodrigo Duterte claimed that such probes lead to “nothing.”  https://t.co/wuSSVwfxU8  https://t.co/kohhuqWc7s",Negative
1985,"""You choose, vaccine or I will have you jailed.""  Philippine President Rodrigo Duterte has threatened to jail people who refuse to be vaccinated against the coronavirus.",Negative
1990,Rodrigo Duterte is quite possibly the only person making false promises in order to be elected as Vice President while already having more power than the position he's campaigning for.  If you couldn't do things as President; you'd be worthless as VP.,Negative
1995,"The country’s elected vice president has no auditing powers, said Senator Nancy Binay.  #Duterte #Election2022 #Halalan2022  https://t.co/QUneF3oLJG",Negative
1996,"Philippine Amusement and Gaming Corp. chair Andrea Domingo confirms that President Rodrigo Duterte lifted the ban on new casinos.  ”He announced it in public so that the now the current policy,“ she said.",Negative
1997,"The President of the #Philippines, Rodrigo #Duterte, Wednesday (25/8) confirmed rumors that he will run for vice president in next year's election. But critics say he is simply trying to circumvent the constitutional term limit. Check it out!   https://t.co/RDqzXA1iXd #SEAToday  https://t.co/jWu8Z0fyCI",Negative
2003,"@manilabulletin @MBvanneelaine Is President Duterte the ""last person to fool Filipinos?""   Senator Panfilo Lacson asked: Isn’t he the one who called “stupid” those who believed his jet ski campaign promise?  READ:  https://t.co/zfxHjYabnz  https://t.co/x3E1LRmD3h",Negative
2006,"President Rodrigo Duterte on Friday was told to read up on the doctrine of the separation of powers in government after he derided Senate inquiries as fruitless endeavors used by senators to ""posture.""     https://t.co/bhPCLoaftu",Negative
2009,@HouseofRepsPH @senatePH @iampinglacson @attyharryroque What's the point of extending the declared “State of Emergency” if President Duterte has no sense of urgency in controlling the pandemic?,Negative
2014,Me too NO TO AQUINO and NO TO DILAWAN in 2022. Kayo rin ba?,Negative
2015,My mother at the age of 83 is still alive ang kicking after she gets the second dose shots. Her first shots last June 18 and her second dose shots is on July 20 but my mother is still alive until now. I don't believe for the fake news that more people died because of vaccine.,Negative
2020,@PHPrimeMinister Totoo bang bakuna ang cause of death ng mga taong ito? Baka meron na silang mga sakit na nakaapekto sa kanila. Magbigay naman kayo ng facts at proof na bakuna talaga ang sanhi ng kanilang kamatayan. Nanay ko naka second dose at the age of 83 pero buhay naman at malakas pa.,Negative
2028,"@isabelmerana Vice President Rodrigo Roa Duterte. Ngayon palang ay nag iiyakan na mga Dilawan (mga Corrupt), mga Terroristang CPP/NPA/NDF at mga Drug Protector, adik (matatagalan pa uli bago sila maka-batak).",Negative
2032,Dapat i audit din ng COA ang makabayan block para malaman ng taongbayan kung saan nila inilaan ang pondong nakukuha nila mula sa gobyerno baka pinagbili yan ng mga armas para sa mga komunista para fair ang laban dito. Hindi puro mga ahensiya lang ng pamahalaan ang na audit.,Negative
2033,"“Ito po ay mababa ang presyo kaysa sa original price niya. So ang nakikita natin ay talagang medyo gumaganda ngayon sa Sinovac, maganda po ang supply niya, steady.” Galvez said during President Rodrigo Duterte’s Talk to the People public briefing on Tuesday, August 24.",Negative
2036,I'm hoping for a long chapter in HEKASI elementary books discussing how digusting Rodrigo Duterte was as a president. The Pag-asa ng Bayan has to know what bad leadership is so they'll know unsa ang dili pamarisan. Grabe katraumatizing na governance uy.,Negative
2043,Ang ganda ng pabahay ng Pnoy administration para sa mga Yolanda victims. Perfect..salamat Pnoy.,Negative
2049,READ: Senator Richard Gordon on President Rodrigo Duterte's criticisms against the senators after probing the P67.3 billion COVID-19 funds.  https://t.co/my5yFdMi6P,Negative
2050,READ: Senator Richard Gordon on President Rodrigo Duterte's criticisms against the senators after probing the P67.3 billion COVID-19 funds.  https://t.co/n77FKCzH7S,Negative
2053,"Senator Leila de Lima, President Rodrigo Duterte's feistiest critic, was sad but defiant as she turned 62 – the fifth birthday she is spending in jail.  https://t.co/emPbSVi13r",Negative
2056,"1Sambayan Convenor Bro. Armin Luistro called President Duterte's so-called ""sacrifice"" for running for vice president in the 2022 elections a long one since he has often complained of being too tired.  https://t.co/CDeq6IWfE0 #PolitikoNews #COVID19",Negative
2057,"The move comes amid allegations by critics that the firm is owned by Dennis Uy, an associate of President Rodrigo Duterte, raising the risks of compromising the integrity of the 2022 polls. #comelec #dennisuy #OpinYon #WeTakeAStand     https://t.co/SnkUGVMf1e",Negative
2066,"@MBvanneelaine Gordon also recalls the Senate's hearing on the smuggling of P6.8-B worth of illegal drugs involving the Bureau of Customs. ""So, Mr. President, we are really trying to support you by supporting you drug problems,"" he tells Duterte  | @MBvanneelaine",Negative
2071,Bagkus naging fact checkers pa ng Facebook at Twitter. Tulad Vera Files at Rappler. Mga number one na source ng fake news. Sina Dayao at Jover Laurio hindi man pinatawag sa senado para magpaliwanag.,Negative
2072,Maraming imbestigasyon sa senado na hindi natatapos isang halimbawa lang diyan sa komite na hawak ni Senadora Grace Poe ukol sa fake news at yung ABS-CBN. Walang committee report kung anong gagawin sa mga taong sangkot sa fake news.,Negative
2073,"Senator Panfilo Lacson contradicted President Rodrigo Duterte’s claim that lawmakers are just ""posturing"" during congressional hearings and advised Duterte to focus on his administration’s “shortcomings.”  READ:  https://t.co/otHJdzF0Ep  https://t.co/OvY7NNN3iX",Negative
2076,Totoo namn walang nangyayari sa mga imbestigasyon ng Senado halimbawa na dun sa fake news na Senadora Grace Poe wala tayong narinig kung ano na ang nagyari. Meron bang nakasuhan at nakulong at marami pa...,Negative
2078,"President Duterte is feeling heat. Audits, Senate inquiry, unable to name the next president, covid catastrophe, corruption, China flipping him off, the economy tanking, his staff screwing up relentlessly, courts tossing his tagging cases; Robredo shines. He's run out of bluff.",Negative
2083,Calling @chrgovph paki-imbestigahan naman ang nangyayaring rape sa mga kababaihan na sumasapi sa kilusang CPP NPA NDF. Maraming magpapatunay na mga kababaihang dating rebelde na sumuko sa pamahalaan na talamak ang panggagahasa sa kabukiran lalong lalo na sa mga kabataang babae.,Negative
2092,"Gordon also recalls the Senate's hearing on the smuggling of P6.8-B worth of illegal drugs involving the Bureau of Customs. ""So, Mr. President, we are really trying to support you by supporting you drug problems,"" he tells Duterte  @manilabulletin",Negative
2096,Mi react baya. Di diay tinood? 👅🤫 RT @cnnphilippines: Panel chairman Senator Richard Gordon addresses President Duterte: 'Wag naman po ninyong sasabihing 'wag makinig at walang nangyayari dito sa Senado. | @eimorpsantos,Negative
2098,Panel chairman Senator Richard Gordon addresses President Duterte: 'Wag naman po ninyong sasabihing 'wag makinig at walang nangyayari dito sa Senado. | @eimorpsantos,Negative
2101,"Senators contradicted President Rodrigo Duterte’s claim that lawmakers are just ""posturing"" during congressional hearings and most of the investigations did not provide recommendations that will lead to government officials’ prosecution.   https://t.co/ewqqp2rGW4",Negative
2104,"""'Wag ho kayong maniwala [riyan] sa mga imbestigasyon, imbestigasyon. Kita naman ninyo, walang nangyayari. Puro lang, 'We will investigate, investigate.'""  - President Rodrigo Duterte   https://t.co/J4NQYk3i6e",Negative
2105,"@maracepeda Gordon to Duterte: Mr President, konting respeto naman po…. I always respect the title and the man. Pero wag naman po tayong magsalita sa co-equal branch of gov't na 'di ginagawa ang trabaho nila. | via @maracepeda   LIVE:  https://t.co/OrS0ei8jCD",Negative
2107,Panel chairman Senator Richard Gordon addresses President Duterte: 'Wag naman po ninyong sasabihing 'wag makinig at walang nangyayari dito sa Senado @cnnphilippines,Negative
2110,"@rapplerdotcom Gordon to Duterte: Mr President, konting respeto naman po…. I always respect the title and the man. Pero wag naman po tayong magsalita sa co-equal branch of govt na di ginagawa ang trabaho nila.",Negative
2115,"Duterte is having a life crisis on running for VP, meanwhile the current Vice President is attending a mental health webinar organized by the University of San Carlos. Lmfao.",Negative
2123,Sen. Panfilo Lacson did not mince words in criticizing President Rodrigo Duterte for saying that senators are only playing politics in their investigations on corruption in government.  https://t.co/h6vMEyiZc2,Negative
2125,"@romelarabia @isabelmerana Sie sind alles Dumm 🤪 President  Rodrigo Roa DUTERTE ist die Beste President , Nakakaawa kayo Kayo kayo Lang ang Naglolokuhan, U can’t destroy These kind Of MAN 👨 I Never voted him but we Österreicher Fil. Salute him.",Negative
2129,Istg if duterte na naman next President I would rather get a job outside of this damned country and probs set aside law school  https://t.co/8eMQInVm0C,Negative
2131,"“Yung mga tawag nilang forest guards. Protektado sila sa itaas ng mga NPA. Ang NPA, meron diyan eh. Ang illegal logging, meron diyan sila,"" President Duterte said illegal loggers were not afraid of forest rangers because they are guarded by NPA insurgents.  https://t.co/zM2OwPaJ8p",Negative
2139,"President Duterte has guaranteed Filipinos that their money is being spent correctly by the government, even telling the people that they can “kill him” if he was lying.  READ: https://t.co/AvwlsCbUPy  https://t.co/BPjl5WAZvq",Negative
2142,"President Rodrigo Duterte on Thursday alleged that members of the New People's Army (NPA), military arm of the Communist Party of the Philippines, are protecting illegal loggers in exchange for payments.  https://t.co/nA5ku952o4 #PolitikoNews @RRD_Davao  @pr1ncegolez",Negative
2153,"Is President Duterte the ""last person to fool Filipinos?""   Senator Panfilo Lacson asked: Isn’t he the one who called “stupid” those who believed his jet ski campaign promise?  READ:  https://t.co/ALoXZdRJ3O  https://t.co/3p0RRXiHfI",Negative
2164,@mikenavallo Remember Tsai Of Taiwan alomost lost election when China bet president flooded the Facebook with tons of propaganda and fake news - China funded heavily on Facebook propaganda to discredit the opponent. China strategy is now adopted by Duterte,Negative
2165,"Presidential Spokesperson Harry Roque says Thursday, August 26, the pandemic task force is going to ask President Duterte to allow face-to-face classes in areas where there are low COVID-19 infection rates. Full story:  https://t.co/w3GtrNdvLv  https://t.co/gEKQD4FZHV",Negative
2168,"@isabelmerana I doubt. Unfortunately, meron pa rin talagang nagpapakatanga. They can still say with a straight face that Duterte is an excellent president even when the country is knee-deep in shit due to administration's utter incompetence. I have lost all respect for these people.",Negative
2173,@goodMDbot May patch lang sa fatigue uniform hehe. Tapos may red cross sa white na tela sa isang braso.,Negative
2182,President Rodrigo Duterte on Thursday again defended the dumping of crushed dolomite along a portion of the Manila Bay beach.  https://t.co/ErdFn8EMae #PolitikoNews @RRD_Davao  @pr1ncegolez,Negative
2184,"“For so many years, you had every chance to do it. Was there anybody willing to take the problem by its horns? Si (DENR Secretary Roy) Cimatu lang. Eh ‘di magpasalamat tayo,” President Duterte said.   https://t.co/2rV1j63L6C",Negative
2188,Senate President Tito Sotto on Duterte's rant vs. Senate investigations: I will send him the Senate report on the Committee of the Whole on PhilHealth. Most of his appointed officers now have pending cases and were removed because of the Senate investigation | @eimorpsantos,Negative
2191,Senate President Tito Sotto on Duterte's rant vs. Senate investigations: I will send him the Senate report on the Committee of the Whole on Philhealth. Most of his appointed officers now have pending cases and were removed because of the Senate investigation @cnnphilippines,Negative
2195,"For President Rodrigo Duterte, the illegal reclamation of esteros or canals in the country has become so bad that a “Martial Law power” would be needed to solve it.  READ:  https://t.co/O4UOduhuys  https://t.co/rPwDmMlc9K",Negative
2197,"Senate President @sotto_tito on President Duterte's ""posturing"" remark: Baka nakalimutan lang nya or misinformed sya. I will send him the Senate report on the Comm of the Whole investigation on Philhealth. @gmanews",Negative
2201,"@inquirerdotnet Di nga nya ma-audit ang mga ahensya nya ngayon na presidente sya. Ang tanga! Inutil! All talk, no work! Waste of taxpayers' money! Ur the most incompetent president in recent memory, Duterte! Nag-aambisyon pa mag-VP. Yuck! Wag na. Iba naman. Yung di mo kamag-anak o kauri!",Negative
2205,@cnnphilippines No thanks.. Now may idea na kami kung ano kang klaseng tao.. No to VP Duterte for 2022 No to Sarah Duterte as President 2022,Negative
2206,"Disgusted Filipinos call President Duterte as INUTIL (impotent). But he is still the president.       And this is what Duterte did to his critics, opposition, Congress, media and even the Vice President. ""Naging mga bulag, pipi at bingi."" They became blind, mute and deaf.  https://t.co/XK8pqOyXsQ",Negative
2216,"Refusing to be a scapegoat again, former interior secretary Mar Roxas assailed President Duterte for resorting to diversionary tactics every time his administration is in trouble.  https://t.co/gEyEaginJg | via @onenewsph  https://t.co/iyv1YFuA4x",Negative
2218,"In a virtual press conference, officers of the Kapisanan ng mga Manggagawa sa GOCCs at GFIs (KAMAGGFI) asked President Duterte to implement the Compensation and Position Classification System (CPCS) that he suspended in 2017. | via @pnagovph  https://t.co/BwK1ditGDr",Negative
2228,"Harry Roque defended before President Rodrigo Duterte the government's insistence on mass gatherings despite the more intense threat of COVID-19, hosting one ceremonial jab or venue opening after another.  https://t.co/rBRa5yKGmU  @attyharryroque #AbogadoNews",Negative
2230,"#WakasanNa : Kontra Daya convenor Danilo Arao said although the 1987 Constitution does not prohibit President Duterte from seeking lower elective post, Duterte’s vice presidential run is “patently unethical.”  https://t.co/Y97SQqMe9B",Negative
2231,@DZMMTeleRadyo @ABSCBNNews I blame those people who still believe in this idiot. He now has the nerve to run as VP despite failing as President.  Andaming naloko nitong si Duterte pero masahol yung alam ang kagaguhan nito pero nagpapaloko pa rin at todo depensa sa gagong 'to. Isa ka na @attyharryroque.,Negative
2235,"#SunStarNews DAVAO City Mayor Sara Duterte-Carpio denied holding grudges against Senator Christopher ""Bong"" Go with regards to his relationship with her father, President Rodrigo Duterte.  https://t.co/HgqLiZlKTu",Negative
2241,"What's wrong with being the right-hand or julalay of the President? Wala na naman! It's a privilege to serve and be trusted by the President in return. BAKA INGGIT PO YAN, Effort to the max din kayo to snuggle with the throne.  #Duterte #OFW #Philippines #Filipino #PPRD #Pinoy  https://t.co/qgGPzanBaj",Negative
2251,"Senator Christopher Lawrence “Bong” Go yesterday shot down allegations that he and the President’s daughter, Davao City Mayor Sara Duterte-Carpio, are not on good terms as potential presidential candidates in the 2022 national elections.  https://t.co/ACOYoRJYRl",Negative
2252,"Senator Christopher Lawrence “Bong” Go yesterday shot down allegations that he and the President’s daughter, Davao City Mayor Sara Duterte-Carpio, are not on good terms as potential presidential candidates in the 2022 national elections.  https://t.co/MXkcAwNfvs",Negative
2257,"Why do i have a feeling that duterte will run for VP then they will make an issue about whoever president will be elected will either get ousted or killed.. then of course, the fucking old shit becomes president again.",Negative
2274,A team from the government’s pandemic task force is preparing to show President Rodrigo Duterte data backing the resumption of in-person classes in areas with a low number of COVID-19 cases. | @LeilasINQ  https://t.co/yesvTHdTIk,Negative
2280,President Duterte continues to stand by the controversial dolomite white sand project in Manila Bay as he recalled the projects under his administration.  Full story:  https://t.co/7ofLZ1TIsd  https://t.co/c4JGQgf0iG,Negative
2283,"President Rodrigo Duterte criticizes ""posturing"" of some senators, tells the public not to believe their investigations that ""lead to nothing.""   Read more:  https://t.co/ayLStYFRM2  https://t.co/cTcmBoMuAc",Negative
2284,"Sen. Bong Go on Wednesday said the Duterte administration's fight against corruption is unflinching and remains relentless, stressing that President Duterte does not tolerate even a ""whiff"" of corruption in this government.    https://t.co/5ylSN7K06W",Negative
2302,@DFAPHL maraming salamat po sa dfa owwa and mahal na president Duterte sa Repatriation para sa amin mga ofw.. Saludo po kami and stay safe Godbless us all Mga kabayan !!,Negative
2306,"Senator Christopher Lawrence “Bong” Go yesterday shot down allegations that he and the President’s daughter, Davao City Mayor Sara Duterte-Carpio, are not on good terms as potential presidential candidates in the 2022 national elections.  https://t.co/ACOYoRJYRl  https://t.co/dUEP798AIt",Negative
2311,What all the haters of the current Philippine President Duterte and his  administration does not have!  https://t.co/UzShazhNqI,Negative
2312,"@jecgabay @inquirerdotnet @DYGalvezINQ @jecgabay   #HumanRightsViolations ang tawag diyan natatandaan mo yun word na Kill, Kill, Kill si Duterte ang nagsabi niyan siguro naman familiar ka diyan. Pinapanood ko sa TV sa malinaw ang mga mata ko pagupo pa lang niya sa pwesto bilang President binanatan niya ang mga drugs.",Negative
2315,"Duterte announces plan to run for vice president of Philippines, in potential blow to US  https://t.co/BxPD4gdscn via @Yahoo Murderer Duterte scared UN ICJ will arrest him when he goes into private life. As usual stupid Pinoy voters will vote for him and his clown Bong Go.",Negative
2318,@inquirerdotnet Did @lenirobredo apply the rule of law when she sent the video of her complaints to the UN during her first year of VPship? Did she apply the rule of law during the ECQ2 when she lured people out for a bag of rice? If duterte dint apply thr rule of law why is he still President?,Negative
2323,"""Who audits the Commission on Audit?""  COA 'victim' President Duterte says he is up for the task if he becomes vice-president.  Related:  https://t.co/nQSpTZLo2T  https://t.co/Q93ffUTHJe",Negative
2333,"@JaganNKaushik @KishorTrivedi7 @kailashkaushik8 @nilesh_pat @AjitsinhJagirda @ArunDeshpande20 @NmN79621443 @SanskarBarot @Ravisha23624235 @AAshaRathod @chimnibai @Cook_Ricardo @_ankahi @Ravichiruvolu1 @macharajarao @keeranl @Murali76133156 @Savitritvs @Visalmama @FireFly53647402 @Drsunandambal @surewrap @shitul905 @4mSingh @Bhagirath1965 @ResurgentIndia @witnessconscio1 @panditsripathak @raaga31280 @arunp131 @Am_dilip1 @shytigress @Rajesh201963 @nair_hena08 @swetamishraa @neerangautam @sbk1963 @GenPanwar @LoveBharatvarsh The reception that Obama and his staff got was bruising, even by Chinese standards. Adding salt to the injury, the Controversial Filipino President Duterte labelled Obama a son of a bitch. Now Biden a Son of B$@%$",Negative
2335,"lies Duterte, hindi mo nga magawang iaudit ngayon na presidente ka, kapag naging vice president ka pa kaya? wag tayo bobohan dito",Negative
2340,Ang daming fake sa duterte thread. Hahahahaha,Negative
2367,"Eh di lumabas din ang totoo.  May utang na loob si Duterte sa San Miguel Corporation kaya hindi maharang ang Bulacan Aerotropolis. We sent a letter requesting for veto of the franchise last December, but the Office of the President forwarded our email to DOTr! Wtf! #SaveTaliptip",Negative
2369,President Duterte defends the controversial dumping of dolomite for the ‘beautification’ project on Manila Bay.  CONTEXT:  https://t.co/zBDcvwK8F0  https://t.co/hVAmw6koUy,Negative
2371,"President Rodrigo Duterte on Thursday night defended the multimillion-peso project that dumped crushed dolomite on a portion of Manila Bay, saying the result is beautiful.  READ:  https://t.co/jDWVMUfQ0J  https://t.co/xN8B1x19Xv",Negative
2375,"To quote from the news article: ""Kontra Daya convenor Danilo Arao said although the 1987 Constitution does not prohibit President Duterte from seeking lower elective post, Duterte’s vice presidential run is 'patently unethical.'""  https://t.co/4PhhjR95ZD",Negative
2376,"""Kontra Daya convenor Danilo Arao said although the 1987 Constitution does not prohibit President Duterte from seeking lower elective post, Duterte’s vice presidential run is 'patently unethical.'""  https://t.co/cqXqhSbPOV",Negative
2379,"'PURO POSTURA LANG'  President Rodrigo Duterte has criticized the “posturing” of some senators, calling on the public not to believe their investigations as it only result to nothing—”no recommendation, no charges filed, no persons jailed.”  https://t.co/cIPjKPbVJ7  https://t.co/kMhMRpIQ3t",Negative
2385,"@alexisbromero Duterte: If need be, destroy all houses, at yung mga esteros na ninakaw ng subdivisions, buksan pilitin mo. But this cannot be done in an ordinary day... You need another martial law power for a president someday to do these things. | @alexisbromero",Negative
2386,"Duterte: If need be, destroy all houses, at yung mga esteros na ninakaw ng subdivisions, buksan pilitin mo. But this cannot be done in an ordinary day... You need another martial law power for a president someday to do these things @PhilippineStar @PhilstarNews",Negative
2389,"Duterte, while talking about how to fix Metro Manila estero or waterways problem: Alam mo hindi na ako maging presidente, but you need another martial law power for a president someday to do this thing.",Negative
2390,"@LeilasINQ @KAguilarINQ Duterte says this cleanup can't be accomplished in an ordinary day. ""Di na ako maging Presidente, but you need another martial law power for a President someday to do this thing,"" he says. | @LeilasINQ",Negative
2411,Cebu lawyer killed  https://t.co/AxpEhJ4BC5  https://t.co/KIocxFHTsc,Negative
2430,"@ABSCBNNews Normally, cabinet meetings are closed-door. Afterwards, the president or a spokesperson will face the press with announcements and Q&amp;A. Only the press conference is recorded.   Duterte changed the format by showing the meeting itself. Now, they are having problems.",Negative
2437,"President Rodrigo Duterte’s efforts to dig past audit reports to hit officials from the past administration is a “misdirection”, a jailed opposition senator said on Thursday, urging the leader to focus on addressing problems in his own government.  READ:  https://t.co/J9eH5ynecs  https://t.co/etzBB8seg9",Negative
2439,i’ve been seeing a lot about manny pacquiao trying to run for president of the philippines… does he still support duterte’s drug war tho is all i wanna know,Negative
2445,@iirramaee Tama po kayo yun mga adik na pedicab driver ang galit Kay President Duterte walo yata lang sila.🤪🤪🤪🤪🤪🤪,Negative
2450,The Palace denied that the political issue between the President Rodrigo Duterte and Mayor Sara is just a drama or a form of zarzuela.  https://t.co/XdYXE9aad7,Negative
2461,"Pres Duterte won’t run for VP if Sara without HONESTY decides to run for  president.   Itong mag amang ito, feeling nila eh kanila ang Pilipinas.   Mayrong 109M fils, bakit parang feeling nila eh sila lang ang magaling?",Negative
2478,Davao City Mayor Sara Duterte Carpio has no beef with President Duterte’s former aide and now Senator Christopher Go.  https://t.co/qJHcYuc0eH,Negative
2480,"@PhilstarNews ""...61 lawyers were slain in the past five years under the administration of President Rodrigo Duterte. This number is higher than the killings in the past six administrations combined""",Negative
2483,Imagine 2022  President: Sara Duterte Vice-President: Rodrigo Duterte Senate President: Bongbong Marcos Speaker of the House of Representative: Paolo Duterte  QUE HORROR MGA BAKLA MAGPAREHISTRO KAYO...,Negative
2490,"Another lawyer, the 64th slain in the profession since the administration of President Rodrigo Duterte, was killed in Cebu City on Thursday afternoon.   https://t.co/xKOd7HAvw4",Negative
2491,A former poll body commissioner cites the urgency of settling the dispute within President Duterte's political party to avoid candidates from being orphaned if they end up with the faction declared illegitimate by the Comelec.  https://t.co/DKdNEjWNIo,Negative
2493,"By the time President Rodrigo Duterte exits Malacañang next year, he will leave with the economy unlikely back to its pre-pandemic shape, as the country struggles to get out of the coronavirus storm.  READ:  https://t.co/pd0lMvcqVP  https://t.co/qkinKQPuFN",Negative
2501,"I KNOW MY LIMITS, PARE!  President Rodrigo Duterte defenfed his bloody drug war, said he never gave a shoot-to-kill order to the police and military in combating the drug lords, carnappers and other criminals.   https://t.co/aiR9ztXclK  https://t.co/jM2UwwZ2Y7",Negative
2508,"After the Commission on Audit (COA) flagged the Department of Health’s (DOH) “deficiencies”, President Rodrigo Duterte explained them, saying items were expensive due to global shortage.   https://t.co/1RbmDr55Ql",Negative
2513,@johnygreen21 @__ryubeom @ABSCBNNews Maybe the idea that Duterte can be President again might narrow your decision. An institutional crisis it will be.,Negative
